,amenities
5775,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""high chair"",""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""trash can""}"
5776,"{wifi,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",refrigerator}"
5777,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""long term stays allowed""}"
5778,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets""}"
5779,"{tv,wifi,kitchen,""free parking on premises"",""pets allowed"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
5780,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""long term stays allowed""}"
5781,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""private entrance"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",oven,stove,""single level home"",""garden or backyard"",""well-lit path to entrance"",""trash can""}"
5782,"{wifi,""air conditioning"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",shampoo,""lock on bedroom door"",hangers,""laptop-friendly workspace""}"
5783,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""paid parking off premises"",""pets allowed"",gym,elevator,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",bathtub,""high chair"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""game console"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""paid parking on premises"",""shower gel"",""baking sheet"",""barbecue utensils"",""trash can""}"
5784,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""paid parking off premises"",""pets allowed"",gym,elevator,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",bathtub,""high chair"",""pack ’n play/travel crib"",""room-darkening shades"",""game console"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""paid parking on premises"",""shower gel"",""baking sheet"",""barbecue utensils"",""trash can""}"
5785,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""shower gel"",""trash can""}"
5786,"{tv,wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""ev charger"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5787,"{tv,wifi,""air conditioning"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",bathtub,""room-darkening shades"",""bed linens"",microwave,""coffee maker"",refrigerator,""single level home"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""wide entrance for guests"",""well-lit path to entrance""}"
5788,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""hair dryer"",""hot water"",other}"
5789,"{tv,""cable tv"",wifi,""air conditioning"",""free parking on premises"",""pets allowed"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5790,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard""}"
5791,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""long term stays allowed""}"
5792,"{tv,wifi,""air conditioning"",""free parking on premises"",breakfast,heating,washer,dryer,""carbon monoxide alarm"",""fire extinguisher"",shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
5793,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",gym,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony""}"
5794,"{tv,""cable tv"",internet,wifi,pool,kitchen,""pets allowed"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
5795,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony""}"
5796,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony""}"
5797,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",elevator,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""hot water""}"
5798,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,essentials,shampoo,hangers,""hair dryer"",iron,""private entrance"",""host greets you""}"
5799,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""smoking allowed"",""pets allowed"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",""lock on bedroom door"",""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""baking sheet"",""barbecue utensils"",""trash can""}"
5800,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""smoking allowed"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""beach essentials"",""luggage dropoff allowed"",""long term stays allowed"",""wide hallways"",""no stairs or steps to enter"",""shower gel"",""baking sheet"",""barbecue utensils"",""trash can""}"
5801,"{tv,wifi,""free parking on premises"",gym,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""bbq grill"",""patio or balcony"",""shower gel"",""trash can""}"
5802,"{wifi,kitchen,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""private living room""}"
5803,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",bathtub,""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
